date,year,month,day,dayofweek,is_weekend,dayofyear,month_sin,month_cos,dayofyear_sin,dayofyear_cos,temperature_2m_max (°C),temperature_2m_min (°C),temp_range,dew_point_2m_min (°C),dew_point_range,relative_humidity_2m_max (%),relative_humidity_2m_min (%),humidity_range,daylight_duration (s),sunshine_duration (s),sunshine_ratio,daylight_to_sunshine_ratio,cloud_cover_min (%),cloud_cover_max (%),rain_sum (mm),precipitation_hours (h),rain_today,wind_speed_10m_min (km/h),avg_wind_speed,wind_gusts_10m_max (km/h),wind_gusts_10m_min (km/h),wind_gust_range,wind_variability,pressure_msl_max (hPa),pressure_msl_min (hPa),pressure_range,soil_moisture_0_to_100cm_mean (m³/m³),weather_condition,cloud_cover_max__lag_1,cloud_cover_max__lag_2,cloud_cover_max__lag_3,cloud_cover_max__lag_7,cloud_cover_max__rolling_mean_3d,cloud_cover_max__rolling_std_3d,cloud_cover_max__rolling_max_3d,cloud_cover_max__rolling_mean_7d,cloud_cover_max__rolling_std_7d,cloud_cover_max__rolling_max_7d,cloud_cover_max__rolling_mean_14d,cloud_cover_max__rolling_std_14d,cloud_cover_max__rolling_max_14d,cloud_cover_max__3day_trend,cloud_cover_max__7day_trend,cloud_cover_max__ewm_3d,cloud_cover_max__ewm_7d,rain_sum__lag_1,rain_sum__lag_2,rain_sum__lag_3,rain_sum__lag_7,rain_sum__rolling_mean_3d,rain_sum__rolling_std_3d,rain_sum__rolling_max_3d,rain_sum__rolling_mean_7d,rain_sum__rolling_std_7d,rain_sum__rolling_max_7d,rain_sum__rolling_mean_14d,rain_sum__rolling_std_14d,rain_sum__rolling_max_14d,rain_sum__3day_trend,rain_sum__7day_trend,rain_sum__ewm_3d,rain_sum__ewm_7d,precipitation_hours__lag_1,precipitation_hours__lag_2,precipitation_hours__lag_3,precipitation_hours__lag_7,precipitation_hours__rolling_mean_3d,precipitation_hours__rolling_std_3d,precipitation_hours__rolling_max_3d,precipitation_hours__rolling_mean_7d,precipitation_hours__rolling_std_7d,precipitation_hours__rolling_max_7d,precipitation_hours__rolling_mean_14d,precipitation_hours__rolling_std_14d,precipitation_hours__rolling_max_14d,precipitation_hours__3day_trend,precipitation_hours__7day_trend,precipitation_hours__ewm_3d,precipitation_hours__ewm_7d,cloud_cover_min__lag_1,cloud_cover_min__lag_2,cloud_cover_min__lag_3,cloud_cover_min__lag_7,cloud_cover_min__rolling_mean_3d,cloud_cover_min__rolling_std_3d,cloud_cover_min__rolling_max_3d,cloud_cover_min__rolling_mean_7d,cloud_cover_min__rolling_std_7d,cloud_cover_min__rolling_max_7d,cloud_cover_min__rolling_mean_14d,cloud_cover_min__rolling_std_14d,cloud_cover_min__rolling_max_14d,cloud_cover_min__3day_trend,cloud_cover_min__7day_trend,cloud_cover_min__ewm_3d,cloud_cover_min__ewm_7d,rain_today_lag_1,rain_today_lag_2,rain_today_lag_3,rain_frequency_7d,rain_frequency_14d,consecutive_rain_days,days_since_rain,temp_range_lag_1,temp_range_lag_3,temp_range_lag_7,temp_range_rolling_mean_7d,temp_range_rolling_std_7d,temp_range_7day_trend,relative_humidity_2m_min__lag_1,relative_humidity_2m_min__lag_3,relative_humidity_2m_min__lag_7,relative_humidity_2m_min__rolling_mean_7d,relative_humidity_2m_min__rolling_std_7d,relative_humidity_2m_min__7day_trend,temperature_2m_max__lag_1,temperature_2m_max__lag_3,temperature_2m_max__lag_7,temperature_2m_max__rolling_mean_7d,temperature_2m_max__rolling_std_7d,temperature_2m_max__7day_trend,humidity_range_lag_1,humidity_range_lag_3,humidity_range_lag_7,humidity_range_rolling_mean_7d,humidity_range_rolling_std_7d,humidity_range_7day_trend,relative_humidity_2m_max__lag_1,relative_humidity_2m_max__lag_3,relative_humidity_2m_max__lag_7,relative_humidity_2m_max__rolling_mean_7d,relative_humidity_2m_max__rolling_std_7d,relative_humidity_2m_max__7day_trend,cloud_rain_interaction,temp_humidity_interaction,precip_cloud_interaction,cloud_volatility_7d,rain_volatility_7d,temp_seasonal_anomaly
2025-05-01,2025,5,1,3,False,121,0.49999999999999994,-0.8660254037844387,0.8724040568049612,-0.48878539428899265,20.3,15.8,4.5,14.1,2.9000000000000004,93,76,17,49163.88,44134.91,0.8977100668214145,1.1139201616099,0,100,0.0,0.0,0,3.0,13.5,30.2,7.2,23.0,21.0,1020.5,1018.2,2.300000000000068,0.0,Cloudy ☁️,,,,,100.0,,100.0,100.0,,100.0,100.0,,100.0,,,100.0,100.0,,,,,0.0,,0.0,0.0,,0.0,0.0,,0.0,,,0.0,0.0,,,,,0.0,,0.0,0.0,,0.0,0.0,,0.0,,,0.0,0.0,,,,,0.0,,0.0,0.0,,0.0,0.0,,0.0,,,0.0,0.0,,,,0.0,0.0,0,30.0,,,,4.5,,,,,,76.0,,,,,,20.3,,,,,,17.0,,,,,,93.0,,,0.0,342.0,0.0,,,0.0
2025-05-02,2025,5,2,4,False,122,0.49999999999999994,-0.8660254037844387,0.8638670987837349,-0.503719798736334,21.4,17.2,4.199999999999999,12.7,4.0,82,66,16,49278.93,44275.2,0.8984610664233171,1.1129891454099494,0,91,0.0,0.0,0,6.0,16.4,34.2,10.1,24.1,20.8,1020.4,1018.3,2.1000000000000227,0.0,Cloudy ☁️,100.0,,,,95.5,6.363961030678928,100.0,95.5,6.363961030678928,100.0,95.5,6.363961030678928,100.0,,,94.0,94.85714285714286,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0,30.0,4.5,,,4.35,0.21213203435596475,,76.0,,,71.0,7.0710678118654755,,20.3,,,20.85,0.7778174593051995,,17.0,,,16.5,0.7071067811865476,,93.0,,,87.5,7.7781745930520225,,0.0,277.19999999999993,0.0,6.363961030678928,0.0,0.0
2025-05-03,2025,5,3,5,True,123,0.49999999999999994,-0.8660254037844387,0.8550745085896932,-0.518505144391157,22.1,17.2,4.900000000000002,13.7,2.400000000000002,83,64,19,49392.43,43570.35,0.8821260666867372,1.133598798292915,0,100,0.0,0.0,0,7.1,17.0,33.8,11.5,22.299999999999997,19.799999999999997,1020.7,1016.5,4.199999999999932,0.0,Cloudy ☁️,91.0,100.0,,,97.0,5.196152422706632,100.0,97.0,5.196152422706632,100.0,97.0,5.196152422706632,100.0,,,97.42857142857143,97.08108108108108,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,0,30.0,4.199999999999999,,,4.533333333333334,0.35118845842842594,,66.0,,,68.66666666666667,6.429100507328638,,21.4,,,21.266666666666666,0.907377172587745,,16.0,,,17.333333333333332,1.5275252316519472,,82.0,,,86.0,6.082762530298219,,0.0,313.60000000000014,0.0,5.196152422706632,0.0,0.0
2025-05-04,2025,5,4,6,True,124,0.49999999999999994,-0.8660254037844387,0.8460288880917339,-0.533137056031809,21.3,17.7,3.6000000000000014,15.2,2.900000000000002,90,73,17,49504.24,12663.43,0.2558049573127474,3.9089197066113512,0,100,0.0,0.0,0,3.6,10.5,23.4,5.0,18.4,13.799999999999999,1016.8,1011.0,5.7999999999999545,0.0,Cloudy ☁️,100.0,91.0,100.0,,97.0,5.196152422706632,100.0,97.75,4.5,100.0,97.75,4.5,100.0,0.0,,98.8,98.14857142857143,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,30.0,4.900000000000002,4.5,,4.300000000000001,0.5477225575051664,,64.0,76.0,,69.75,5.6789083458002745,,22.1,20.3,,21.275,0.7410578025138557,,19.0,17.0,,17.25,1.258305739211792,,83.0,93.0,,87.0,5.354126134736337,,0.0,262.8000000000001,0.0,4.5,0.0,0.0
2025-05-05,2025,5,5,0,False,125,0.49999999999999994,-0.8660254037844387,0.8367329140344921,-0.5476112038402312,19.7,18.8,0.8999999999999986,15.3,2.3999999999999986,91,76,15,49614.27,41907.52,0.8446666654573372,1.1838707260480685,0,100,0.0,0.0,0,4.4,13.100000000000001,28.1,7.6,20.5,17.4,1012.3,1010.1,2.199999999999932,0.0,Cloudy ☁️,100.0,100.0,91.0,,100.0,0.0,100.0,98.2,4.024922359499621,100.0,98.2,4.024922359499621,100.0,9.0,,99.41935483870968,98.75544174135723,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,30.0,3.6000000000000014,4.199999999999999,,3.62,1.5927962832704008,,73.0,66.0,,71.0,5.656854249492381,,21.3,21.4,,20.96,0.9528903399657277,,17.0,16.0,,16.8,1.4832396974191329,,90.0,82.0,,87.8,4.969909455915671,,0.0,68.39999999999989,0.0,4.024922359499621,0.0,0.0
2025-05-06,2025,5,6,1,False,126,0.49999999999999994,-0.8660254037844387,0.8271893372462497,-0.5619233046832195,19.6,18.3,1.3000000000000007,14.7,2.0,86,76,10,49722.38,33618.39,0.676121899233303,1.4789792438232816,0,100,0.0,0.0,0,6.3,12.200000000000001,25.6,14.0,11.600000000000001,11.8,1014.5,1011.1,3.3999999999999773,0.0,Cloudy ☁️,100.0,100.0,100.0,,100.0,0.0,100.0,98.5,3.6742346141747673,100.0,98.5,3.6742346141747673,100.0,0.0,,99.71428571428571,99.13394713394713,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,30.0,0.8999999999999986,4.900000000000002,,3.233333333333334,1.7107503227141794,,76.0,64.0,,71.83333333333333,5.455883674224247,,19.7,22.1,,20.733333333333334,1.017185659880568,,15.0,19.0,,15.666666666666666,3.076794869123821,,91.0,83.0,,87.5,4.505552130427524,,0.0,98.80000000000005,0.0,3.6742346141747673,0.0,0.0
2025-05-07,2025,5,7,2,False,127,0.49999999999999994,-0.8660254037844387,0.8174009818249189,-0.5760691233798758,19.5,18.7,0.8000000000000007,14.7,2.900000000000002,93,77,16,49828.57,41910.47,0.8410931720496896,1.1889005563393504,2,100,0.0,0.0,0,8.5,12.9,22.3,12.6,9.700000000000001,8.8,1016.2,1013.7,2.5,0.0,Cloudy ☁️,100.0,100.0,100.0,,100.0,0.0,100.0,98.71428571428571,3.4016802570830453,100.0,98.71428571428571,3.4016802570830453,100.0,0.0,,99.85826771653544,99.38381348172149,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.6666666666666666,1.1547005383792517,2.0,0.2857142857142857,0.7559289460184545,2.0,0.2857142857142857,0.7559289460184545,2.0,2.0,,1.0078740157480315,0.5770233147848137,0.0,0.0,0.0,0.0,0.0,0,30.0,1.3000000000000007,3.6000000000000014,,2.885714285714286,1.8123912118419427,,76.0,73.0,,72.57142857142857,5.3496773378445575,,19.6,21.3,,20.557142857142857,1.0390013520317525,,10.0,17.0,,15.714285714285714,2.8115408417381933,,86.0,90.0,,88.28571428571429,4.608480795022936,,0.0,61.60000000000005,0.0,3.4016802570830453,0.0,0.0
2025-05-08,2025,5,8,3,False,128,0.49999999999999994,-0.8660254037844387,0.8073707443023492,-0.5900444739548627,21.2,17.8,3.3999999999999986,14.5,3.3000000000000007,91,72,19,49933.69,43501.65,0.8711883700163157,1.1478309942038014,0,89,0.5,1.0,1,6.6,16.75,36.0,9.7,26.3,20.299999999999997,1013.8,1009.2,4.600000000000023,0.0,Moderate Drizzle 🌧,100.0,100.0,100.0,100.0,96.33333333333333,6.350852961085882,100.0,97.14285714285714,4.913538149119954,100.0,97.5,4.6598589800857395,100.0,-11.0,-11.0,94.4078431372549,96.49905892327257,0.0,0.0,0.0,0.0,0.16666666666666666,0.2886751345948129,0.5,0.07142857142857142,0.18898223650461363,0.5,0.0625,0.1767766952966369,0.5,0.5,0.5,0.25098039215686274,0.13890631623569308,0.0,0.0,0.0,0.0,0.3333333333333333,0.5773502691896258,1.0,0.14285714285714285,0.37796447300922725,1.0,0.125,0.3535533905932738,1.0,1.0,1.0,0.5019607843137255,0.27781263247138616,2.0,0.0,0.0,0.0,0.6666666666666666,1.1547005383792517,2.0,0.2857142857142857,0.7559289460184545,2.0,0.25,0.7071067811865476,2.0,0.0,0.0,0.5019607843137255,0.41671894870707926,0.0,0.0,0.0,0.14285714285714285,0.125,1,30.0,0.8000000000000007,0.8999999999999986,4.5,2.7285714285714286,1.6928420734712044,-1.1000000000000014,77.0,76.0,76.0,72.0,5.131601439446885,-4.0,19.5,19.7,20.3,20.685714285714287,1.0574002260711115,0.8999999999999986,16.0,15.0,17.0,16.0,3.0550504633038935,2.0,93.0,91.0,93.0,88.0,4.320493798938574,-2.0,44.5,244.7999999999999,89.0,4.913538149119954,0.18898223650461363,0.0
2025-05-09,2025,5,9,4,False,129,0.49999999999999994,-0.8660254037844387,0.7971015927871943,-0.6038452208771035,20.2,18.7,1.5,16.1,1.6999999999999993,92,82,10,50037.83,43455.45,0.868451929270314,1.1514477137456005,0,100,0.1,1.0,1,12.1,20.7,39.2,15.5,23.700000000000003,17.200000000000003,1016.2,1009.3,6.899999999999977,0.0,Light Drizzle 🌦,89.0,100.0,100.0,91.0,96.33333333333333,6.350852961085882,100.0,98.42857142857143,4.157609203101502,100.0,97.77777777777777,4.437842318564782,100.0,0.0,9.0,97.20939334637964,97.44534584943558,0.5,0.0,0.0,0.0,0.19999999999999998,0.2645751311064591,0.5,0.08571428571428572,0.18644544714716088,0.5,0.06666666666666667,0.16583123951776998,0.5,0.1,0.1,0.17534246575342466,0.1283901328461072,1.0,0.0,0.0,0.0,0.6666666666666666,0.5773502691896258,1.0,0.2857142857142857,0.4879500364742666,1.0,0.2222222222222222,0.44095855184409843,1.0,1.0,1.0,0.7514677103718199,0.4730162789067108,0.0,2.0,0.0,0.0,0.6666666666666666,1.1547005383792517,2.0,0.2857142857142857,0.7559289460184545,2.0,0.2222222222222222,0.6666666666666667,2.0,0.0,0.0,0.25048923679060664,0.3040818935828855,1.0,0.0,0.0,0.2857142857142857,0.2222222222222222,2,1.0,3.3999999999999986,1.3000000000000007,4.199999999999999,2.342857142857143,1.6071269840485984,-2.6999999999999993,72.0,76.0,66.0,74.28571428571429,5.55920515044749,16.0,21.2,19.6,21.4,20.514285714285712,1.0188695883650856,-1.1999999999999993,19.0,10.0,16.0,15.142857142857142,3.8047589248453675,-6.0,91.0,86.0,82.0,89.42857142857143,3.598941643369749,10.0,10.0,123.0,100.0,4.157609203101502,0.18644544714716088,0.0
2025-05-10,2025,5,10,5,True,130,0.49999999999999994,-0.8660254037844387,0.7865965660866021,-0.6174672802835514,20.2,18.3,1.8999999999999986,16.2,1.5,90,82,8,50140.89,44735.07,0.8921873943601719,1.1208157086664072,7,100,0.0,0.0,0,8.7,17.6,33.5,12.6,20.9,17.8,1017.9,1014.1,3.7999999999999545,0.0,Cloudy ☁️,100.0,89.0,100.0,100.0,96.33333333333333,6.350852961085882,100.0,98.42857142857143,4.157609203101502,100.0,98.0,4.242640687119285,100.0,0.0,0.0,98.60606060606061,98.1221209729497,0.1,0.5,0.0,0.0,0.19999999999999998,0.2645751311064591,0.5,0.08571428571428572,0.18644544714716088,0.5,0.06,0.1577621275493231,0.5,0.0,0.0,0.08758553274682307,0.09437721254700476,1.0,1.0,0.0,0.0,0.6666666666666666,0.5773502691896258,1.0,0.2857142857142857,0.48795003647426666,1.0,0.2,0.4216370213557839,1.0,0.0,0.0,0.375366568914956,0.34770551991001764,0.0,0.0,2.0,0.0,2.3333333333333335,4.041451884327381,7.0,1.2857142857142858,2.627691364061218,7.0,0.9,2.2335820757001272,7.0,5.0,7.0,3.6285434995112413,2.077954416605105,1.0,1.0,0.0,0.2857142857142857,0.2,0,1.0,1.5,0.8000000000000007,4.900000000000002,1.9142857142857141,1.1451762185046326,-3.0000000000000036,82.0,77.0,64.0,76.85714285714286,3.933978962347214,18.0,20.2,19.5,22.1,20.24285714285714,0.7412987316351014,-1.9000000000000021,10.0,16.0,19.0,13.571428571428571,4.197504927816955,-11.0,92.0,93.0,83.0,90.42857142857143,2.2253945610567465,7.0,0.0,155.7999999999999,0.0,4.157609203101502,0.18644544714716088,0.0
2025-05-11,2025,5,11,6,True,131,0.49999999999999994,-0.8660254037844387,0.7758587728069828,-0.6309066211876704,20.2,19.3,0.8999999999999986,16.5,1.6999999999999993,92,80,12,50242.77,34381.7,0.6843113944553614,1.4612805277072483,62,100,0.0,0.0,0,5.2,14.45,32.4,10.1,22.299999999999997,18.5,1015.0,1008.8,6.2000000000000455,0.0,Cloudy ☁️,100.0,100.0,89.0,100.0,100.0,0.0,100.0,98.42857142857143,4.157609203101502,100.0,98.18181818181819,4.069844759156836,100.0,11.0,0.0,99.30337078651685,98.61229322130053,0.0,0.1,0.5,0.0,0.03333333333333333,0.05773502691896272,0.1,0.08571428571428572,0.18644544714716088,0.5,0.05454545454545454,0.15075567228888181,0.5,-0.5,0.0,0.04377137274059599,0.06974245716560243,0.0,1.0,1.0,0.0,0.3333333333333333,0.5773502691896258,1.0,0.2857142857142857,0.48795003647426666,1.0,0.18181818181818182,0.40451991747794525,1.0,-1.0,0.0,0.1875915974596971,0.2569458948206406,7.0,0.0,0.0,0.0,23.0,33.95585369269929,62.0,10.142857142857142,23.010349638286474,62.0,6.454545454545454,18.543805630795617,62.0,62.0,62.0,32.828529555447,17.719070476956713,0.0,1.0,1.0,0.2857142857142857,0.18181818181818182,0,2.0,1.8999999999999986,3.3999999999999986,3.6000000000000014,1.528571428571428,0.9141741003300646,-2.700000000000003,82.0,72.0,73.0,77.85714285714286,3.670993118515814,7.0,20.2,21.2,21.3,20.085714285714285,0.5785861256216788,-1.1000000000000014,8.0,19.0,17.0,12.857142857142858,3.933978962347216,-5.0,90.0,91.0,90.0,90.71428571428571,2.288688541085317,2.0,0.0,71.99999999999989,0.0,4.157609203101502,0.18644544714716088,0.0
2025-05-12,2025,5,12,0,False,132,0.49999999999999994,-0.8660254037844387,0.7648913904341225,-0.6441592666722685,20.9,18.8,2.099999999999998,15.4,1.9999999999999982,90,74,16,50343.39,44587.16,0.885660659721167,1.129075297119235,0,73,0.6,2.0,1,1.7,14.9,37.1,5.8,31.3,26.400000000000002,1016.0,1010.5,5.5,0.0,Moderate Drizzle 🌧,100.0,100.0,100.0,100.0,91.0,15.588457268119896,100.0,94.57142857142857,10.357881747042407,100.0,96.08333333333333,8.240237566448869,100.0,-27.0,-27.0,86.14847374847375,91.99975895271233,0.0,0.0,0.1,0.0,0.19999999999999998,0.34641016151377546,0.6,0.17142857142857143,0.26276913640612176,0.6,0.09999999999999999,0.21320071635561044,0.6,0.5,0.6,0.3219536019536019,0.20664336419776833,0.0,0.0,1.0,0.0,0.6666666666666666,1.1547005383792517,2.0,0.5714285714285714,0.7867957924694432,2.0,0.3333333333333333,0.6513389472789296,2.0,1.0,2.0,1.0940170940170941,0.7069643645809449,62.0,7.0,0.0,0.0,23.0,33.95585369269929,62.0,10.142857142857142,23.010349638286474,62.0,5.916666666666667,17.778732613247023,62.0,0.0,0.0,16.41025641025641,13.144393788538867,0.0,0.0,1.0,0.42857142857142855,0.25,1,3.0,0.8999999999999986,1.5,0.8999999999999986,1.6999999999999993,0.8888194417315572,1.1999999999999993,80.0,82.0,76.0,77.57142857142857,3.9096949095439997,-2.0,20.2,20.2,19.7,20.25714285714286,0.6214422549122939,1.1999999999999993,12.0,10.0,15.0,13.0,4.041451884327381,1.0,92.0,92.0,91.0,90.57142857142857,2.2990681342044392,-1.0,43.8,155.39999999999984,146.0,10.357881747042407,0.26276913640612176,0.0
2025-05-13,2025,5,13,1,False,133,0.49999999999999994,-0.8660254037844387,0.753697664392914,-0.6572212950663319,20.6,18.4,2.200000000000003,13.4,3.5999999999999996,87,68,19,50442.65,45055.91,0.8932106065006498,1.1195319430471375,0,83,0.0,0.0,0,4.9,12.95,27.4,6.1,21.299999999999997,16.1,1017.2,1013.8,3.3999999999999773,0.0,Cloudy ☁️,73.0,100.0,100.0,100.0,85.33333333333333,13.650396819628845,100.0,92.14285714285714,10.854009572942331,100.0,95.07692307692308,8.683907899687586,100.0,-17.0,-17.0,84.57404468318886,89.69506601595515,0.6,0.0,0.0,0.0,0.19999999999999998,0.34641016151377546,0.6,0.17142857142857143,0.26276913640612176,0.6,0.0923076923076923,0.20599975105785306,0.6,0.0,0.0,0.16095714808936637,0.15372533557092308,2.0,0.0,0.0,0.0,0.6666666666666666,1.1547005383792517,2.0,0.5714285714285714,0.7867957924694432,2.0,0.3076923076923077,0.6304251719561152,2.0,0.0,0.0,0.5469417653522158,0.5259222071020844,0.0,62.0,7.0,0.0,20.666666666666668,35.795716689756794,62.0,10.142857142857142,23.010349638286474,62.0,5.461538461538462,17.100757218202283,62.0,-7.0,0.0,8.204126480283238,9.77832679923683,1.0,0.0,0.0,0.42857142857142855,0.23076923076923078,0,1.0,2.099999999999998,1.8999999999999986,1.3000000000000007,1.828571428571428,0.8864052604279172,0.9000000000000021,74.0,82.0,76.0,76.42857142857143,5.349677337844555,-8.0,20.9,20.2,19.6,20.4,0.5567764362830028,1.0,16.0,8.0,10.0,14.285714285714286,4.347960660443227,9.0,90.0,90.0,86.0,90.71428571428571,1.976047040118706,1.0,0.0,149.6000000000002,0.0,10.854009572942331,0.26276913640612176,0.0
2025-05-14,2025,5,14,2,False,134,0.49999999999999994,-0.8660254037844387,0.742280907086982,-0.6700888411055113,19.9,19.2,0.6999999999999993,14.9,2.299999999999999,88,75,13,50540.43,39600.0,0.7835311254771675,1.2762412565339258,14,100,0.0,0.0,0,10.1,17.55,34.2,15.1,19.1,14.9,1015.0,1009.1,5.899999999999977,0.0,Cloudy ☁️,83.0,73.0,100.0,100.0,85.33333333333333,13.650396819628845,100.0,92.14285714285714,10.854009572942331,100.0,95.42857142857143,8.446339996747666,100.0,0.0,0.0,92.2874931331258,92.31803544489227,0.0,0.6,0.0,0.0,0.19999999999999998,0.34641016151377546,0.6,0.17142857142857143,0.26276913640612176,0.6,0.08571428571428572,0.19944979263017493,0.6,0.0,0.0,0.08047366172251723,0.11459681167354205,0.0,2.0,0.0,0.0,0.6666666666666666,1.1547005383792517,2.0,0.5714285714285714,0.7867957924694432,2.0,0.2857142857142857,0.6112498455021266,2.0,0.0,0.0,0.27345419031923335,0.39205644208469004,0.0,0.0,62.0,2.0,4.666666666666667,8.082903768654749,14.0,11.857142857142858,22.748103008299186,62.0,6.071428571428571,16.58759631918837,62.0,-48.0,12.0,11.102240126960874,10.852891639895663,0.0,1.0,0.0,0.42857142857142855,0.21428571428571427,0,2.0,2.200000000000003,0.8999999999999986,0.8000000000000007,1.8142857142857136,0.9063269671749649,-0.10000000000000142,68.0,80.0,77.0,76.14285714285714,5.3674504012169315,-2.0,20.6,20.2,19.5,20.457142857142856,0.4613644360558618,0.3999999999999986,19.0,12.0,16.0,13.857142857142858,4.298393941484479,-3.0,87.0,92.0,93.0,90.0,1.914854215512673,-5.0,0.0,52.49999999999994,0.0,10.854009572942331,0.26276913640612176,0.0
2025-05-15,2025,5,15,3,False,135,0.49999999999999994,-0.8660254037844387,0.7306444969184916,-0.6827580970759147,22.1,16.8,5.300000000000001,14.2,3.8000000000000007,97,70,27,50636.65,33315.24,0.657927410284843,1.5198788938967904,9,100,30.7,10.0,1,6.9,19.2,46.1,14.4,31.700000000000003,24.6,1008.4,1003.2,5.2000000000000455,0.0,Heavy Rain 🌧,100.0,83.0,73.0,89.0,94.33333333333333,9.814954576223641,100.0,93.71428571428571,11.11626864426317,100.0,95.42857142857143,8.446339996747666,100.0,27.0,11.0,96.14386425366985,94.26453860272505,0.0,0.0,0.6,0.5,10.233333333333333,17.72465326412151,30.7,4.485714285714286,11.561491912296406,30.7,2.2785714285714285,8.18264378673906,30.7,30.099999999999998,30.2,15.390704062013612,7.864513315789895,0.0,0.0,2.0,1.0,3.3333333333333335,5.773502691896257,10.0,1.8571428571428572,3.670993118515816,10.0,1.0,2.660248687044705,10.0,8.0,9.0,5.136875514999847,2.8265759379246442,14.0,0.0,0.0,0.0,7.666666666666667,7.094598884597576,14.0,13.142857142857142,22.21432399322992,62.0,6.714285714285714,16.50840611711114,62.0,9.0,9.0,10.05108798486282,10.383394624867027,0.0,0.0,1.0,0.42857142857142855,0.2857142857142857,1,3.0,0.6999999999999993,2.099999999999998,3.3999999999999986,2.0857142857142854,1.5301727260112081,1.9000000000000021,75.0,74.0,72.0,75.85714285714286,5.669467095138407,-2.0,19.9,20.9,21.2,20.585714285714285,0.7425823667638304,0.9000000000000021,13.0,16.0,19.0,15.0,6.429100507328637,8.0,88.0,90.0,91.0,90.85714285714286,3.2877840272018806,6.0,3070.0,371.00000000000006,1000.0,11.11626864426317,11.561491912296406,0.0
